time_idx,Energy_kwh,house_hold,temperature,windSpeed,precipType,icon,summary,bool_weather_missing_values,year,month,day,hour,dayofweek_num
0,0.202,0,7.01,5.46,0,0,0,0,0,0,0,0,0
1,0.20800000000000002,0,7.49,5.51,0,0,0,0,0,0,0,1,0
2,0.246,0,7.16,5.74,0,0,0,0,0,0,0,2,0
3,0.316,0,7.04,4.98,0,0,0,0,0,0,0,3,0
4,0.20400000000000001,0,6.29,4.2,0,0,0,0,0,0,0,4,0
5,0.122,0,6.2,4.37,0,0,0,0,0,0,0,5,0
6,0.107,0,5.73,4.71,0,0,0,0,0,0,0,6,0
7,0.11599999999999999,0,5.04,5.22,0,0,0,0,0,0,0,7,0
8,0.138,0,5.76,4.86,0,0,0,0,0,0,0,8,0
9,0.118,0,5.36,4.48,0,1,0,0,0,0,0,9,0
10,0.103,0,5.22,4.03,0,1,0,0,0,0,0,10,0
11,0.126,0,4.44,4.0,0,1,1,0,0,0,0,11,0
12,0.10600000000000001,0,4.01,4.15,0,1,0,0,0,0,0,12,0
13,0.5640000000000001,0,3.94,3.8,0,1,1,0,0,0,0,13,0
14,0.9299999999999999,0,3.37,3.25,0,1,0,0,0,0,0,14,0
15,1.6700000000000002,0,3.31,2.97,0,2,2,0,0,0,0,15,0
16,0.261,0,3.34,3.37,0,0,0,0,0,0,0,16,0
17,0.344,0,3.36,3.06,0,3,2,0,0,0,0,17,0
18,0.609,0,3.5,3.05,0,0,1,0,0,0,0,18,0
19,0.537,0,4.42,3.17,0,0,0,0,0,0,0,19,0
20,0.421,0,4.93,3.1,0,0,0,0,0,0,0,20,0
21,0.488,0,5.55,3.02,0,0,0,0,0,0,0,21,0
22,0.467,0,6.1,3.52,0,0,0,0,0,0,0,22,0
23,0.14400000000000002,0,6.77,3.4,0,0,1,0,0,0,0,23,0
24,0.122,0,4.01,4.15,0,0,0,0,0,0,1,0,1
25,0.132,0,3.94,3.8,0,0,1,0,0,0,1,1,1
26,0.122,0,3.37,3.25,0,0,0,0,0,0,1,2,1
27,0.11,0,3.31,2.97,0,3,2,0,0,0,1,3,1
28,0.133,0,3.34,3.37,0,0,0,0,0,0,1,4,1
29,0.195,0,3.36,3.06,0,3,2,0,0,0,1,5,1
30,0.124,0,3.5,3.05,0,0,1,0,0,0,1,6,1
31,0.183,0,4.42,3.17,0,0,0,0,0,0,1,7,1
32,0.242,0,4.93,3.1,0,0,0,0,0,0,1,8,1
33,0.17,0,5.55,3.02,0,1,0,0,0,0,1,9,1
34,0.121,0,6.1,3.52,0,1,0,0,0,0,1,10,1
35,0.115,0,6.77,3.4,0,1,1,0,0,0,1,11,1
36,0.128,0,7.22,3.41,0,1,1,0,0,0,1,12,1
37,0.108,0,7.58,4.0,0,1,1,0,0,0,1,13,1
38,0.124,0,7.53,4.48,0,1,1,0,0,0,1,14,1
39,0.111,0,7.64,4.14,0,1,1,0,0,0,1,15,1
40,0.111,0,8.17,4.04,0,0,1,0,0,0,1,16,1
41,0.123,0,8.78,4.52,0,0,1,0,0,0,1,17,1
42,0.106,0,9.42,4.85,0,0,1,0,0,0,1,18,1
43,0.348,0,9.86,4.74,0,0,1,0,0,0,1,19,1
44,0.369,0,10.33,4.74,0,0,1,0,0,0,1,20,1
45,0.40800000000000003,0,10.51,4.73,0,0,1,0,0,0,1,21,1
46,0.46299999999999997,0,10.82,4.15,0,0,1,0,0,0,1,22,1
47,0.161,0,10.77,4.11,0,0,0,0,0,0,1,23,1
48,0.121,0,10.69,4.78,0,0,1,0,0,0,2,0,2
49,0.11499999999999999,0,10.31,4.18,0,0,0,0,0,0,2,1,2
50,0.11399999999999999,0,10.27,4.33,0,0,1,0,0,0,2,2,2
51,0.11099999999999999,0,10.28,4.27,0,0,1,0,0,0,2,3,2
52,0.11699999999999999,0,10.19,3.95,0,0,1,0,0,0,2,4,2
53,0.105,0,9.74,3.82,0,0,1,0,0,0,2,5,2
54,0.119,0,9.72,4.81,0,0,0,0,0,0,2,6,2
55,0.17,0,9.65,5.21,0,0,1,0,0,0,2,7,2
56,0.228,0,9.73,4.94,0,0,1,0,0,0,2,8,2
57,0.20900000000000002,0,10.13,4.49,0,1,1,0,0,0,2,9,2
58,0.124,0,10.26,4.6,0,1,0,0,0,0,2,10,2
59,0.111,0,10.42,4.77,0,1,0,0,0,0,2,11,2
60,0.126,0,10.92,4.02,0,1,0,0,0,0,2,12,2
61,0.108,0,11.41,4.3,0,1,0,0,0,0,2,13,2
62,0.126,0,11.39,4.49,0,1,0,0,0,0,2,14,2
63,0.159,0,11.38,4.29,0,1,0,0,0,0,2,15,2
64,0.14100000000000001,0,10.86,4.07,0,0,0,0,0,0,2,16,2
65,0.11399999999999999,0,10.42,3.73,0,0,0,0,0,0,2,17,2
66,0.10999999999999999,0,10.71,3.75,0,0,0,0,0,0,2,18,2
67,0.137,0,10.69,4.85,0,0,1,0,0,0,2,19,2
68,0.263,0,10.79,4.48,0,0,1,0,0,0,2,20,2
69,0.392,0,10.85,4.37,0,0,1,0,0,0,2,21,2
70,0.354,0,11.21,3.92,0,4,3,0,0,0,2,22,2
71,0.20600000000000002,0,10.84,4.57,0,0,1,0,0,0,2,23,2
72,0.11199999999999999,0,10.79,4.76,0,0,1,0,0,0,3,0,3
73,0.125,0,10.28,4.75,0,4,3,0,0,0,3,1,3
74,0.104,0,10.2,4.41,0,4,3,0,0,0,3,2,3
75,0.124,0,9.82,4.56,0,4,3,0,0,0,3,3,3
76,0.105,0,9.76,4.97,0,4,3,0,0,0,3,4,3
77,0.11399999999999999,0,9.76,4.61,0,4,3,0,0,0,3,5,3
78,0.112,0,9.72,5.44,0,0,1,0,0,0,3,6,3
79,0.173,0,9.55,4.74,0,0,1,0,0,0,3,7,3
80,0.255,0,9.57,4.38,0,0,1,0,0,0,3,8,3
81,0.216,0,9.31,4.36,0,1,1,0,0,0,3,9,3
82,0.145,0,9.61,4.22,0,1,1,0,0,0,3,10,3
83,0.125,0,9.76,4.43,0,1,0,0,0,0,3,11,3
84,0.11199999999999999,0,9.71,5.3,0,1,1,0,0,0,3,12,3
85,0.122,0,9.84,4.97,0,1,1,0,0,0,3,13,3
86,0.11099999999999999,0,10.15,4.94,0,1,1,0,0,0,3,14,3
87,0.10999999999999999,0,10.17,4.11,0,1,1,0,0,0,3,15,3
88,0.11699999999999999,0,9.75,3.5,0,0,1,0,0,0,3,16,3
89,0.101,0,9.67,3.55,0,0,1,0,0,0,3,17,3
90,0.12,0,9.58,3.33,0,0,1,0,0,0,3,18,3
91,0.183,0,9.49,3.57,0,0,1,0,0,0,3,19,3
92,0.398,0,9.04,3.37,0,0,1,0,0,0,3,20,3
93,0.422,0,9.08,3.55,0,0,1,0,0,0,3,21,3
94,0.441,0,8.62,3.69,0,0,1,0,0,0,3,22,3
95,0.315,0,8.17,4.1,0,4,3,0,0,0,3,23,3
96,0.29100000000000004,0,8.12,3.86,0,0,1,0,0,0,4,0,4
97,0.10600000000000001,0,8.09,3.53,0,0,1,0,0,0,4,1,4
98,0.122,0,8.07,3.53,0,0,1,0,0,0,4,2,4
99,0.155,0,8.09,3.5,0,0,1,0,0,0,4,3,4
100,0.14,0,8.09,3.09,0,0,1,0,0,0,4,4,4
101,0.123,0,8.14,2.6,0,0,1,0,0,0,4,5,4
102,0.103,0,8.14,2.59,0,0,1,0,0,0,4,6,4
