time_idx,Energy_kwh,house_hold,temperature,windSpeed,precipType,icon,summary,holiday,bool_weather_missing_values,year,month,day,hour,dayofweek_num
73,0.521,0,10.28,4.75,0,4,3,0,0,0,0,3,1,3
74,0.476,0,10.2,4.41,0,4,3,0,0,0,0,3,2,3
75,0.479,0,9.82,4.56,0,4,3,0,0,0,0,3,3,3
76,0.507,0,9.76,4.97,0,4,3,0,0,0,0,3,4,3
77,0.493,0,9.76,4.61,0,4,3,0,0,0,0,3,5,3
78,0.534,0,9.72,5.44,0,0,1,0,0,0,0,3,6,3
79,1.03,0,9.55,4.74,0,0,1,0,0,0,0,3,7,3
80,1.121,0,9.57,4.38,0,0,1,0,0,0,0,3,8,3
81,0.5640000000000001,0,9.31,4.36,0,1,1,0,0,0,0,3,9,3
82,0.59,0,9.61,4.22,0,1,1,0,0,0,0,3,10,3
83,0.552,0,9.76,4.43,0,1,0,0,0,0,0,3,11,3
84,0.5700000000000001,0,9.71,5.3,0,1,1,0,0,0,0,3,12,3
85,0.612,0,9.84,4.97,0,1,1,0,0,0,0,3,13,3
86,0.5820000000000001,0,10.15,4.94,0,1,1,0,0,0,0,3,14,3
87,0.622,0,10.17,4.11,0,1,1,0,0,0,0,3,15,3
88,0.634,0,9.75,3.5,0,0,1,0,0,0,0,3,16,3
89,0.619,0,9.67,3.55,0,0,1,0,0,0,0,3,17,3
90,0.646,0,9.58,3.33,0,0,1,0,0,0,0,3,18,3
91,1.107,0,9.49,3.57,0,0,1,0,0,0,0,3,19,3
92,1.483,0,9.04,3.37,0,0,1,0,0,0,0,3,20,3
93,2.301,0,9.08,3.55,0,0,1,0,0,0,0,3,21,3
94,1.415,0,8.62,3.69,0,0,1,0,0,0,0,3,22,3
95,0.533,0,8.17,4.1,0,4,3,0,0,0,0,3,23,3
96,0.511,0,8.12,3.86,0,0,1,0,0,0,0,4,0,4
97,0.46699999999999997,0,8.09,3.53,0,0,1,0,0,0,0,4,1,4
98,0.46499999999999997,0,8.07,3.53,0,0,1,0,0,0,0,4,2,4
99,0.503,0,8.09,3.5,0,0,1,0,0,0,0,4,3,4
100,0.46299999999999997,0,8.09,3.09,0,0,1,0,0,0,0,4,4,4
101,0.484,0,8.14,2.6,0,0,1,0,0,0,0,4,5,4
102,0.569,0,8.14,2.59,0,0,1,0,0,0,0,4,6,4
103,0.5660000000000001,0,8.18,1.61,0,0,1,0,0,0,0,4,7,4
104,1.145,0,8.69,1.61,0,0,1,0,0,0,0,4,8,4
105,0.884,0,8.75,2.37,0,1,1,0,0,0,0,4,9,4
106,0.69,0,9.17,2.62,0,1,1,0,0,0,0,4,10,4
107,0.675,0,9.8,3.05,0,1,1,0,0,0,0,4,11,4
108,0.87,0,10.32,3.88,0,1,1,0,0,0,0,4,12,4
109,1.5819999999999999,0,10.45,4.51,0,1,1,0,0,0,0,4,13,4
110,2.4130000000000003,0,10.66,4.9,0,1,1,0,0,0,0,4,14,4
111,1.523,0,10.28,4.09,0,1,1,0,0,0,0,4,15,4
112,0.633,0,10.17,3.86,0,1,1,0,0,0,0,4,16,4
113,1.7260001,0,10.18,4.48,0,0,1,0,0,0,0,4,17,4
114,3.8439997999999997,0,10.17,4.05,0,0,1,0,0,0,0,4,18,4
115,1.299,0,10.14,3.57,0,0,1,0,0,0,0,4,19,4
116,0.642,0,9.69,3.12,0,0,0,0,0,0,0,4,20,4
117,0.6779999999999999,0,9.08,2.7,0,3,2,0,0,0,0,4,21,4
118,0.641,0,8.39,2.49,0,3,2,0,0,0,0,4,22,4
119,1.017,0,7.84,2.27,0,3,2,0,0,0,0,4,23,4
120,0.856,0,7.42,2.33,0,3,2,0,0,0,0,5,0,5
121,0.5660000000000001,0,7.71,2.12,0,3,2,0,0,0,0,5,1,5
122,0.51,0,7.26,2.01,0,3,2,0,0,0,0,5,2,5
123,0.547,0,6.91,2.54,0,3,2,0,0,0,0,5,3,5
124,0.503,0,7.03,2.81,0,0,0,0,0,0,0,5,4,5
125,0.521,0,6.99,2.53,0,0,0,0,0,0,0,5,5,5
126,0.8300000000000001,0,6.98,2.56,0,5,4,0,0,0,0,5,6,5
127,0.894,0,6.98,2.11,0,5,4,0,0,0,0,5,7,5
128,0.537,0,7.02,1.6,0,5,4,0,0,0,0,5,8,5
129,0.849,0,7.53,2.14,0,5,4,0,0,0,0,5,9,5
130,0.782,0,7.53,1.55,0,5,4,0,0,0,0,5,10,5
131,1.35,0,7.97,1.83,0,5,4,0,0,0,0,5,11,5
132,1.2120000000000002,0,7.57,1.96,0,5,4,0,0,0,0,5,12,5
133,1.055,0,7.68,2.13,0,1,1,0,0,0,0,5,13,5
134,0.977,0,7.61,2.3,0,1,1,0,0,0,0,5,14,5
135,0.946,0,7.3,2.79,0,1,1,0,0,0,0,5,15,5
136,0.984,0,7.51,2.39,0,1,1,0,0,0,0,5,16,5
137,1.526,0,7.57,1.91,0,0,1,0,0,0,0,5,17,5
138,1.384,0,7.6,1.96,0,0,1,0,0,0,0,5,18,5
139,1.533,0,7.96,1.94,0,0,1,0,0,0,0,5,19,5
140,2.5629999999999997,0,8.53,2.97,0,0,1,0,0,0,0,5,20,5
141,1.222,0,8.57,2.96,0,0,1,0,0,0,0,5,21,5
142,1.449,0,8.61,3.36,0,0,1,0,0,0,0,5,22,5
143,1.5270000000000001,0,8.48,3.3,0,0,1,0,0,0,0,5,23,5
144,0.521,0,8.06,3.42,0,0,1,0,0,0,0,6,0,6
145,0.495,0,7.98,3.2,0,0,1,0,0,0,0,6,1,6
146,0.479,0,7.94,3.12,0,0,1,0,0,0,0,6,2,6
147,0.506,0,7.56,2.86,0,4,3,0,0,0,0,6,3,6
148,0.476,0,7.47,2.52,0,0,1,0,0,0,0,6,4,6
149,0.488,0,7.11,2.48,0,4,3,0,0,0,0,6,5,6
150,0.683,0,7.1,2.7,0,0,1,0,0,0,0,6,6,6
151,1.0499999999999998,0,7.39,2.66,0,0,1,0,0,0,0,6,7,6
152,0.6970000000000001,0,7.45,2.7,0,0,1,0,0,0,0,6,8,6
153,0.5800000000000001,0,7.5,2.7,0,1,1,0,0,0,0,6,9,6
154,0.596,0,7.89,3.14,0,1,1,0,0,0,0,6,10,6
155,0.547,0,7.97,3.44,0,1,1,0,0,0,0,6,11,6
156,0.631,0,8.06,3.62,0,1,1,0,0,0,0,6,12,6
157,0.579,0,8.56,3.74,0,1,1,0,0,0,0,6,13,6
158,0.542,0,8.56,3.88,0,1,1,0,0,0,0,6,14,6
159,0.541,0,8.52,3.87,0,1,1,0,0,0,0,6,15,6
160,0.54,0,8.37,4.09,0,1,1,0,0,0,0,6,16,6
161,0.481,0,8.04,3.8,0,0,1,0,0,0,0,6,17,6
162,0.5,0,8.07,3.7,0,0,1,0,0,0,0,6,18,6
163,3.683,0,8.19,3.53,0,0,1,0,0,0,0,6,19,6
164,2.1109999999999998,0,8.57,3.79,0,0,1,0,0,0,0,6,20,6
165,2.091,0,9.02,3.75,0,0,1,0,0,0,0,6,21,6
166,1.24,0,9.02,3.39,0,0,1,0,0,0,0,6,22,6
167,1.042,0,9.08,3.16,0,0,1,0,0,0,0,6,23,6
168,0.942,0,9.08,3.37,0,0,1,0,0,0,0,7,0,0
169,0.488,0,9.1,3.45,0,0,1,0,0,0,0,7,1,0
170,0.484,0,9.11,3.47,0,0,1,0,0,0,0,7,2,0
171,0.523,0,9.24,3.57,0,0,1,0,0,0,0,7,3,0
172,0.498,0,9.62,3.31,0,0,1,0,0,0,0,7,4,0
173,0.515,0,9.65,3.32,0,0,1,0,0,0,0,7,5,0
174,0.539,0,9.64,3.14,0,0,1,0,0,0,0,7,6,0
175,1.0150000000000001,0,9.53,3.23,0,0,1,0,0,0,0,7,7,0
176,0.6439999999999999,0,9.02,3.5,0,0,0,0,0,0,0,7,8,0
177,0.742,0,9.08,3.95,0,1,1,0,0,0,0,7,9,0
178,0.549,0,9.78,3.98,0,1,1,0,0,0,0,7,10,0
179,0.591,0,10.01,4.11,0,1,0,0,0,0,0,7,11,0
180,0.56,0,10.86,4.54,0,1,0,0,0,0,0,7,12,0
181,0.5640000000000001,0,11.23,5.03,0,1,1,0,0,0,0,7,13,0
182,0.591,0,10.86,4.57,0,1,1,0,0,0,0,7,14,0
183,0.594,0,10.79,3.92,0,1,1,0,0,0,0,7,15,0
184,0.597,0,10.78,3.63,0,1,1,0,0,0,0,7,16,0
185,0.792,0,10.67,3.59,0,0,1,0,0,0,0,7,17,0
186,1.7299999000000001,0,10.32,3.59,0,0,1,0,0,0,0,7,18,0
187,1.081,0,10.11,3.96,0,0,1,0,0,0,0,7,19,0
188,2.399,0,10.14,3.92,0,0,1,0,0,0,0,7,20,0
189,3.351,0,9.67,3.67,0,0,1,0,0,0,0,7,21,0
190,1.213,0,9.23,3.78,0,0,1,0,0,0,0,7,22,0
191,0.7789999999999999,0,9.22,3.21,0,0,1,0,0,0,0,7,23,0
192,0.478,0,8.84,3.0,0,4,3,0,0,0,0,8,0,1
193,0.472,0,9.18,2.86,0,4,3,0,0,0,0,8,1,1
194,0.508,0,9.19,2.51,0,0,1,0,0,0,0,8,2,1
195,0.47,0,9.21,1.97,0,0,1,0,0,0,0,8,3,1
196,0.46799999999999997,0,9.14,1.4,0,0,1,0,0,0,0,8,4,1
197,0.544,0,9.13,0.95,0,0,0,0,0,0,0,8,5,1
198,0.535,0,9.1,1.5,0,0,1,0,0,0,0,8,6,1
199,0.906,0,8.93,2.84,0,0,1,0,0,0,0,8,7,1
200,1.084,0,8.46,3.3,0,0,1,0,0,0,0,8,8,1
201,0.606,0,8.37,3.31,0,1,1,0,0,0,0,8,9,1
202,0.661,0,7.99,2.76,0,1,1,0,0,0,0,8,10,1
203,0.642,0,8.01,2.63,0,1,1,0,0,0,0,8,11,1
204,0.976,0,8.07,2.24,0,1,0,0,0,0,0,8,12,1
205,0.9339999999999999,0,8.16,2.09,0,1,0,0,0,0,0,8,13,1
206,1.119,0,8.16,2.19,0,1,0,0,0,0,0,8,14,1
207,0.871,0,7.96,1.86,0,1,0,0,0,0,0,8,15,1
208,1.0,0,7.21,1.35,0,1,0,0,0,0,0,8,16,1
209,1.0979999999999999,0,6.41,1.04,0,0,0,0,0,0,0,8,17,1
210,1.222,0,5.58,0.63,0,3,2,0,0,0,0,8,18,1
211,1.141,0,4.98,0.33,0,3,2,0,0,0,0,8,19,1
212,1.275,0,3.56,0.61,0,3,2,0,0,0,0,8,20,1
213,2.3929998,0,2.73,0.68,0,3,2,0,0,0,0,8,21,1
214,0.991,0,2.57,0.77,0,3,2,0,0,0,0,8,22,1
215,1.086,0,1.77,0.96,0,3,2,0,0,0,0,8,23,1
216,0.581,0,1.92,0.7,0,3,2,0,0,0,0,9,0,2
217,0.486,0,1.56,0.5,0,0,0,0,0,0,0,9,1,2
218,0.49,0,1.16,0.79,0,0,0,0,0,0,0,9,2,2
