time_idx,Energy_kwh,house_hold,temperature,windSpeed,precipType,icon,summary,holiday,bool_weather_missing_values,year,month,day,hour,dayofweek_num
0,2.1270000000000002,0,7.01,5.46,0,0,0,1,0,0,0,0,0,0
1,0.278,0,7.49,5.51,0,0,0,0,0,0,0,0,1,0
2,0.29100000000000004,0,7.16,5.74,0,0,0,0,0,0,0,0,2,0
3,0.299,0,7.04,4.98,0,0,0,0,0,0,0,0,3,0
4,0.25,0,6.29,4.2,0,0,0,0,0,0,0,0,4,0
5,2.731,0,6.2,4.37,0,0,0,0,0,0,0,0,5,0
6,2.245,0,5.73,4.71,0,0,0,0,0,0,0,0,6,0
7,2.1769999999999996,0,5.04,5.22,0,0,0,0,0,0,0,0,7,0
8,2.104,0,5.76,4.86,0,0,0,0,0,0,0,0,8,0
9,1.167,0,5.36,4.48,0,1,0,0,0,0,0,0,9,0
10,0.315,0,5.22,4.03,0,1,0,0,0,0,0,0,10,0
11,0.347,0,4.44,4.0,0,1,1,0,0,0,0,0,11,0
12,0.43400000000000005,0,4.01,4.15,0,1,0,0,0,0,0,0,12,0
13,0.6399999999999999,0,3.94,3.8,0,1,1,0,0,0,0,0,13,0
14,1.792,0,3.37,3.25,0,1,0,0,0,0,0,0,14,0
15,1.7730000000000001,0,3.31,2.97,0,2,2,0,0,0,0,0,15,0
16,1.405,0,3.34,3.37,0,0,0,0,0,0,0,0,16,0
17,1.863,0,3.36,3.06,0,3,2,0,0,0,0,0,17,0
18,0.347,0,3.5,3.05,0,0,1,0,0,0,0,0,18,0
19,3.3159998999999996,0,4.42,3.17,0,0,0,0,0,0,0,0,19,0
20,3.3739999,0,4.93,3.1,0,0,0,0,0,0,0,0,20,0
21,2.4980000999999996,0,5.55,3.02,0,0,0,0,0,0,0,0,21,0
22,1.909,0,6.1,3.52,0,0,0,0,0,0,0,0,22,0
23,1.815,0,6.77,3.4,0,0,1,0,0,0,0,0,23,0
24,1.236,0,4.01,4.15,0,0,0,0,0,0,0,1,0,1
25,0.397,0,3.94,3.8,0,0,1,0,0,0,0,1,1,1
26,0.399,0,3.37,3.25,0,0,0,0,0,0,0,1,2,1
27,0.395,0,3.31,2.97,0,3,2,0,0,0,0,1,3,1
28,0.41000000000000003,0,3.34,3.37,0,0,0,0,0,0,0,1,4,1
29,2.923,0,3.36,3.06,0,3,2,0,0,0,0,1,5,1
30,2.6669999,0,3.5,3.05,0,0,1,0,0,0,0,1,6,1
31,3.2589999,0,4.42,3.17,0,0,0,0,0,0,0,1,7,1
32,2.9170001,0,4.93,3.1,0,0,0,0,0,0,0,1,8,1
33,1.559,0,5.55,3.02,0,1,0,0,0,0,0,1,9,1
34,0.391,0,6.1,3.52,0,1,0,0,0,0,0,1,10,1
35,0.386,0,6.77,3.4,0,1,1,0,0,0,0,1,11,1
36,2.081,0,7.22,3.41,0,1,1,0,0,0,0,1,12,1
37,2.41,0,7.58,4.0,0,1,1,0,0,0,0,1,13,1
38,2.0770001000000002,0,7.53,4.48,0,1,1,0,0,0,0,1,14,1
39,3.1230001,0,7.64,4.14,0,1,1,0,0,0,0,1,15,1
