House_Hold,MAE,MAPE,SMAPE,RMSE,Time_execution
BLOCK_14_MAC005355,0.393,0.286,0.255,0.544,11369.90s
BLOCK_35_MAC004062,0.087,0.365,0.306,0.131,7994.25s
BLOCK_3_MAC004417,0.396,1.921,0.642,0.668,15170.54s
BLOCK_81_MAC004113,0.156,0.398,0.391,0.307,10854.55s
BLOCK_94_MAC003037,0.058,396633.12,0.889,0.095,998.31s
