House_Hold,MAE,MAPE,SMAPE,RMSE,Time_execution
BLOCK_14_MAC005355,0.323,0.208,0.214,0.53,737.01s
BLOCK_35_MAC004062,0.088,0.37,0.301,0.132,370.60s
BLOCK_3_MAC004417,0.436,3.387,0.7,0.714,371.41s
BLOCK_81_MAC004113,0.154,0.367,0.362,0.318,372.26s
BLOCK_93_MAC005337,0.121,1.134,0.549,0.308,491.20s
