House_Hold,MAE,MAPE,SMAPE,RMSE,Time_execution
BLOCK_14_MAC005355,0.241,0.165,0.161,0.391,31.12s
BLOCK_35_MAC004062,0.088,0.377,0.306,0.112,28.43s
BLOCK_3_MAC004417,0.229,0.336,0.36,0.417,87.49s
BLOCK_81_MAC004113,0.16,0.52,0.446,0.345,28.59s
BLOCK_94_MAC003037,0.05,70568.67,0.588,0.067,29.31s
